Address A,Port A,Address B,Port B,Packets,Bytes,Packets A -> B,Bytes A -> B,Packets B -> A,Bytes B -> A,Rel Start,Duration,Bits/s A -> B,Bits/s B -> A
10.11.1.31,60892,10.12.0.74,445,416,264930,180,17099,236,247831,479.924519,25.213583,5425.329673,78634.12352
10.11.1.31,60893,10.12.0.72,445,447,149971,214,26396,233,123575,479.929053,13.189887,16009.84148,74951.36236
10.11.1.31,60894,10.12.0.73,445,462,189861,213,25189,249,164672,479.937726,13.209826,15254.7051,99726.97596
10.11.1.31,60895,10.12.0.74,445,1,66,1,66,0,0,481.014597,0,0,0
10.11.1.31,60896,10.12.0.74,139,1,66,1,66,0,0,481.015527,0,0,0
10.11.1.79,2804,10.12.1.24,502,10,614,5,308,5,306,54.211439,0.042355,58174.94983,57797.19041
10.11.1.79,2805,10.12.1.24,502,10,613,5,308,5,305,54.235811,0.068309,36071.38152,35720.03689
10.11.1.79,2806,10.12.1.24,502,10,614,5,308,5,306,54.327464,0.039092,63030.79914,62621.50824
10.11.1.79,2807,10.12.1.24,502,10,613,5,308,5,305,54.35474,0.058421,42176.61457,41765.80339
10.11.1.79,2808,10.12.1.24,502,10,614,5,308,5,306,54.41895,0.047702,51654.0187,51318.60299
10.11.1.79,2809,10.12.1.24,502,10,614,5,308,5,306,59.227064,0.045256,54445.81934,54092.27506
10.11.1.79,2810,10.12.1.24,502,10,613,5,308,5,305,59.254572,0.087284,28229.687,27954.72252
10.11.1.79,2811,10.12.1.24,502,10,614,5,308,5,306,59.327044,0.10482,23506.96432,23354.32169
10.11.1.79,2812,10.12.1.24,502,10,613,5,308,5,305,59.414916,0.058451,42154.96741,41744.36708
10.11.1.79,2813,10.12.1.24,502,10,614,5,308,5,306,59.481677,0.050755,48546.94119,48231.70131
10.11.1.79,2872,10.12.1.24,502,10,614,5,308,5,306,144.21268,0.040891,60257.75843,59866.47429
10.11.1.79,2873,10.12.1.24,502,12,733,6,368,6,365,144.246271,3.003557,980.171177,972.1806511
10.11.1.79,2874,10.12.1.24,502,10,614,5,308,5,306,144.297672,0.034009,72451.40992,71980.94622
10.11.1.79,2875,10.12.1.24,502,10,613,5,308,5,305,144.323414,0.029819,82631.879,81827.02304
10.11.1.79,2876,10.12.1.24,502,10,614,5,308,5,306,144.357994,0.025802,95496.47314,94876.36617
10.11.1.79,2877,10.12.1.24,502,10,614,5,308,5,306,149.212791,0.031335,78634.11521,78123.50407
10.11.1.79,2878,10.12.1.24,502,10,613,5,308,5,305,149.238208,0.021877,112629.7024,111532.6599
10.11.1.79,2879,10.12.1.24,502,10,614,5,308,5,306,149.265858,0.026515,92928.53102,92325.099
10.11.1.79,2880,10.12.1.24,502,10,613,5,308,5,305,149.290236,0.018102,136117.5561,134791.7357
10.11.1.79,2881,10.12.1.24,502,10,614,5,308,5,306,149.326752,0.022372,110137.6721,109422.4924
10.11.1.79,2944,10.12.1.24,502,1,62,1,62,0,0,234.214005,0,0,0
10.11.1.79,2945,10.12.1.24,502,1,62,1,62,0,0,236.214651,0,0,0
10.11.1.79,2946,10.12.1.24,502,1,62,1,62,0,0,238.214673,0,0,0
10.11.1.79,2947,10.12.1.24,502,1,62,1,62,0,0,240.219993,0,0,0
10.11.1.79,2948,10.12.1.24,502,1,62,1,62,0,0,242.246624,0,0,0
10.11.1.79,2950,10.12.1.24,502,1,62,1,62,0,0,244.277941,0,0,0
10.11.1.79,3008,10.12.1.24,502,1,62,1,62,0,0,325.230989,0,0,0
10.11.1.79,3009,10.12.1.24,502,1,62,1,62,0,0,327.247269,0,0,0
10.11.1.79,3010,10.12.1.24,502,1,62,1,62,0,0,329.247351,0,0,0
10.11.1.79,3011,10.12.1.24,502,1,62,1,62,0,0,331.253739,0,0,0
10.11.1.79,3012,10.12.1.24,502,1,62,1,62,0,0,333.280881,0,0,0
10.11.1.79,3013,10.12.1.24,502,1,62,1,62,0,0,335.31054,0,0,0
10.11.1.79,3073,10.12.1.24,502,1,62,1,62,0,0,416.279315,0,0,0
10.11.1.79,3074,10.12.1.24,502,1,62,1,62,0,0,418.279904,0,0,0
10.11.1.79,3075,10.12.1.24,502,1,62,1,62,0,0,420.279986,0,0,0
10.11.1.79,3076,10.12.1.24,502,1,62,1,62,0,0,422.285133,0,0,0
10.11.1.79,3077,10.12.1.24,502,1,62,1,62,0,0,424.31189,0,0,0
10.11.1.79,3078,10.12.1.24,502,1,62,1,62,0,0,426.343078,0,0,0
10.11.1.79,3137,10.12.1.24,502,10,614,5,308,5,306,507.296204,0.232257,10608.93751,10540.04831
10.11.1.79,3138,10.12.1.24,502,10,613,5,308,5,305,507.484275,0.144757,17021.62935,16855.83426
10.11.1.79,3139,10.12.1.24,502,10,614,5,308,5,306,507.599103,0.229564,10733.39025,10663.69291
10.11.1.79,3140,10.12.1.24,502,10,613,5,308,5,305,507.750977,0.430786,5719.777337,5664.06522
10.11.1.79,3141,10.12.1.24,502,10,614,5,308,5,306,508.191535,0.085685,28756.4918,28569.76134
10.11.1.79,3142,10.12.1.24,502,10,614,5,308,5,306,512.31204,0.665562,3702.134437,3678.094603
10.11.1.79,3143,10.12.1.24,502,10,613,5,308,5,305,512.590419,0.49049,5023.547881,4974.61722
10.11.1.79,3144,10.12.1.24,502,10,614,5,308,5,306,513.067976,0.060668,40614.49199,40350.76152
10.11.1.79,3145,10.12.1.24,502,10,613,5,308,5,305,513.119653,0.578177,4261.670734,4220.160954
10.11.1.79,3146,10.12.1.24,502,10,614,5,308,5,306,513.660197,0.237821,10360.73349,10293.456
10.11.1.79,3206,10.12.1.24,502,10,614,5,308,5,306,597.297566,0.030098,81865.90471,81334.30793
10.11.1.79,3207,10.12.1.24,502,10,613,5,308,5,305,597.321638,0.028297,87076.36852,86228.22207
10.11.1.79,3208,10.12.1.24,502,10,614,5,308,5,306,597.350555,0.026516,92925.0264,92321.61714
10.11.1.79,3209,10.12.1.24,502,10,613,5,308,5,305,597.372374,0.018948,130040.1098,128773.4853
10.11.1.79,3210,10.12.1.24,502,10,614,5,308,5,306,597.411552,0.020784,118552.7329,117782.9099
10.11.1.79,3211,10.12.1.24,502,10,614,5,308,5,306,602.297792,0.023802,103520.7125,102848.5001
10.11.1.79,3212,10.12.1.24,502,10,613,5,308,5,305,602.318257,0.024219,101738.3046,100747.3471
10.11.1.79,3213,10.12.1.24,502,10,614,5,308,5,306,602.352376,0.031623,77917.9711,77412.01025
10.11.1.79,3214,10.12.1.24,502,10,613,5,308,5,305,602.381347,0.025005,98540.29194,97580.4839
10.11.1.79,3215,10.12.1.24,502,10,614,5,308,5,306,602.41388,0.026851,91765.66981,91169.78883
10.11.1.79,3274,10.12.1.24,502,10,614,5,308,5,306,687.298931,0.025007,98532.41093,97892.59007
10.11.1.79,3275,10.12.1.24,502,10,613,5,308,5,305,687.317984,0.019326,127496.6367,126254.7863
10.11.1.79,3276,10.12.1.24,502,10,614,5,308,5,306,687.351705,0.025272,97499.20861,96866.09687
10.11.1.79,3277,10.12.1.24,502,10,613,5,308,5,305,687.374697,0.017449,141211.5307,139836.0938
10.11.1.79,3278,10.12.1.24,502,10,614,5,308,5,306,687.412924,0.021235,116034.8481,115281.3751
10.11.1.79,3279,10.12.1.24,502,10,614,5,308,5,306,692.299046,0.022679,108646.7657,107941.2673
